k,rouge1_f1,rouge2_f1,rougeL_f1,rouge1_p,rouge1_r,rouge2_p,rouge2_r,rougeL_p,rougeL_r
1,0.04608119004660646,0.012706295349749442,0.04520903554030201,0.07580689743794913,0.03553069471125431,0.020730864161771122,0.009834981798125406,0.0743934236096749,0.03484288528333368
2,0.0618380364440451,0.017373806835092383,0.05922243617579256,0.07527230051219225,0.057477503277202295,0.021015218246784005,0.016269987897391962,0.07213776310897949,0.055016625912575653
3,0.07222912592824517,0.020716626550844854,0.06796586563681284,0.0733076510119214,0.07867155975208662,0.020859212220296075,0.02281249976281542,0.06902842302637201,0.07400343732658084
