k,rouge1_f1,rouge2_f1,rougeL_f1,rouge1_p,rouge1_r,rouge2_p,rouge2_r,rougeL_p,rougeL_r,split
1,0.04608119004660646,0.012706295349749442,0.04520903554030201,0.07580689743794913,0.03553069471125431,0.020730864161771122,0.009834981798125406,0.0743934236096749,0.03484288528333368,train
2,0.0618380364440451,0.017373806835092383,0.05922243617579256,0.07527230051219225,0.057477503277202295,0.021015218246784005,0.016269987897391962,0.07213776310897949,0.055016625912575653,train
3,0.07222912592824517,0.020716626550844854,0.06796586563681284,0.0733076510119214,0.07867155975208662,0.020859212220296075,0.02281249976281542,0.06902842302637201,0.07400343732658084,train
1,0.047999239076434316,0.012547483334864966,0.04652503706752505,0.07466695693412286,0.038029338032377444,0.019474024083242523,0.01011079605009845,0.07267943210090663,0.036788066966941924,dev
2,0.060652302908340054,0.016145146034012396,0.05814883723565555,0.06983145553562149,0.05923826267904693,0.017820515415705798,0.01659464695367115,0.06718697272889604,0.05658442628273424,dev
3,0.06567516783606789,0.01754870828536837,0.061911965567472985,0.0636687896977349,0.07516140140429765,0.016626639292799894,0.020853013198289735,0.06024272044412447,0.07057318918445246,dev
